Type,Frame,Angle
Bezier Quaternion,180,3.3344
Bezier Quaternion,181,3.50381
Bezier Quaternion,182,3.66712
Bezier Quaternion,183,3.82287
Bezier Quaternion,184,3.96951
Bezier Quaternion,185,4.10547
Bezier Quaternion,186,4.22907
Bezier Quaternion,187,4.33858
Bezier Quaternion,188,4.43222
Bezier Quaternion,189,4.50815
Bezier Quaternion,190,4.58218
Bezier Quaternion,191,4.66934
Bezier Quaternion,192,4.76668
Bezier Quaternion,193,4.87123
Bezier Quaternion,194,4.98001
Bezier Quaternion,195,5.09001
Bezier Quaternion,196,5.1982
Bezier Quaternion,197,5.30152
Bezier Quaternion,198,5.39689
Bezier Quaternion,199,5.4812
Bezier Quaternion,200,5.55133
Bezier Quaternion,201,5.60414
Bezier Quaternion,202,5.63647
Bezier Quaternion,203,5.64515
Bezier Quaternion,204,5.62703
Bezier Quaternion,205,5.57896
Bezier Quaternion,206,5.49781
Bezier Quaternion,207,5.38048
Bezier Quaternion,208,5.2239
Bezier Quaternion,209,5.02506
Bezier Quaternion,210,4.781
Bezier Quaternion,211,4.47051
Bezier Quaternion,212,4.08052
Bezier Quaternion,213,3.62033
Bezier Quaternion,214,3.09927
Bezier Quaternion,215,2.52666
Bezier Quaternion,216,1.91178
Bezier Quaternion,217,1.26388
Bezier Quaternion,218,0.59215
Bezier Quaternion,219,-0.0943172
Bezier Quaternion,220,-0.786504
Bezier Quaternion,221,-1.47549
Bezier Quaternion,222,-2.15247
Bezier Quaternion,223,-2.80871
Bezier Quaternion,224,-3.43559
Bezier Quaternion,225,-4.02457
Bezier Quaternion,226,-4.56719
Bezier Quaternion,227,-5.055
Bezier Quaternion,228,-5.47959
Bezier Quaternion,229,-5.83254
Bezier Quaternion,230,-6.10538
Bezier Quaternion,231,-6.28953
Bezier Quaternion,232,-6.39617
Bezier Quaternion,233,-6.44508
Bezier Quaternion,234,-6.44036
Bezier Quaternion,235,-6.38597
Bezier Quaternion,236,-6.28571
Bezier Quaternion,237,-6.14314
Bezier Quaternion,238,-5.96162
Bezier Quaternion,239,-5.74427
Bezier Quaternion,240,-5.49399
Bezier Quaternion,241,-5.21343
Bezier Quaternion,242,-4.90507
Bezier Quaternion,243,-4.57119
Bezier Quaternion,244,-4.21394
Bezier Quaternion,245,-3.83536
Bezier Quaternion,246,-3.43744
Bezier Quaternion,247,-3.02221
Bezier Quaternion,248,-2.59176
Bezier Quaternion,249,-2.1484
Bezier Quaternion,250,-1.69469
Bezier Quaternion,251,-1.23363
Bezier Quaternion,252,-0.768699
Bezier Quaternion,253,-0.274425
Bezier Quaternion,254,0.278002
Bezier Quaternion,255,0.889652
Bezier Quaternion,256,1.56162
Bezier Quaternion,257,2.29499
Bezier Quaternion,258,3.09076
Bezier Quaternion,259,3.94977
Bezier Quaternion,260,4.8726
Bezier Quaternion,261,5.85946
Bezier Quaternion,262,6.91004
Bezier Quaternion,263,8.02335
Bezier Quaternion,264,9.1975
Bezier Quaternion,265,10.4295
Bezier Quaternion,266,11.7151
Bezier Quaternion,267,13.0483
Bezier Quaternion,268,14.4213
Bezier Quaternion,269,15.8243
Bezier Quaternion,270,17.245
Bezier Quaternion,271,18.6688
Bezier Quaternion,272,20.0782
Bezier Quaternion,273,21.4534
Bezier Quaternion,274,22.8354
Bezier Quaternion,275,24.2762
Bezier Quaternion,276,25.7696
Bezier Quaternion,277,27.3069
Bezier Quaternion,278,28.8768
Bezier Quaternion,279,30.465
Bezier Quaternion,280,32.0539
Bezier Quaternion,281,33.6222
Bezier Quaternion,282,35.1449
Bezier Quaternion,283,36.5935
Bezier Quaternion,284,37.9368
Bezier Quaternion,285,39.1413
Bezier Quaternion,286,40.173
Bezier Quaternion,287,40.9989
Bezier Quaternion,288,41.5886
Bezier Quaternion,289,41.9168
Bezier Quaternion,290,41.9646
Bezier Quaternion,291,41.7221
Bezier Quaternion,292,41.1887
Bezier Quaternion,293,40.3743
Bezier Quaternion,294,39.2983
Bezier Quaternion,295,37.9108
Bezier Quaternion,296,36.222
Bezier Quaternion,297,34.3423
Bezier Quaternion,298,32.3671
Bezier Quaternion,299,30.3727
Bezier Quaternion,300,28.4155
Bezier Quaternion,301,26.534
Bezier Quaternion,302,24.752
Bezier Quaternion,303,23.0821
Bezier Quaternion,304,21.5294
Bezier Quaternion,305,20.0938
Bezier Quaternion,306,18.7722
Bezier Quaternion,307,17.5598
Bezier Quaternion,308,16.4516
Bezier Quaternion,309,15.4425
Bezier Quaternion,310,14.5281
Bezier Quaternion,311,13.7048
Bezier Quaternion,312,12.9698
Bezier Quaternion,313,12.3215
Bezier Quaternion,314,11.7592
Bezier Quaternion,315,11.2832
Bezier Quaternion,316,10.882
Bezier Quaternion,317,10.5364
Bezier Quaternion,318,10.2367
Bezier Quaternion,319,9.97493
Bezier Quaternion,320,9.74369
Bezier Quaternion,321,9.53645
Bezier Quaternion,322,9.34728
Bezier Quaternion,323,9.17069
Bezier Quaternion,324,9.00156
Bezier Quaternion,325,8.8351
Bezier Quaternion,326,8.66679
Bezier Quaternion,327,8.49237
Bezier Quaternion,328,8.30781
Bezier Quaternion,329,8.10932
Bezier Quaternion,330,7.89336
Bezier Quaternion,331,7.65664
Bezier Quaternion,332,7.39615
Bezier Quaternion,333,7.10919
Bezier Quaternion,334,6.79336
Bezier Quaternion,335,6.44658
Bezier Quaternion,336,6.06717
Bezier Quaternion,337,5.65223
Bezier Quaternion,338,5.20483
Bezier Quaternion,339,4.73208
Bezier Quaternion,340,4.2405
Bezier Quaternion,341,3.73604
Bezier Quaternion,342,3.22402
Bezier Quaternion,343,2.7092
Bezier Quaternion,344,2.19577
Bezier Quaternion,345,1.68739
Bezier Quaternion,346,1.18728
Bezier Quaternion,347,0.69821
Bezier Quaternion,348,0.222621
Bezier Quaternion,349,-0.237371
Bezier Quaternion,350,-0.6799
Bezier Quaternion,351,-1.10331
Bezier Quaternion,352,-1.50608
Bezier Quaternion,353,-1.88683
Bezier Quaternion,354,-2.24421
Bezier Quaternion,355,-2.57692
Bezier Quaternion,356,-2.88363
Bezier Quaternion,357,-3.16295
Bezier Quaternion,358,-3.42247
Bezier Quaternion,359,-3.67149
Bezier Quaternion,360,-3.91095
Bezier Quaternion,361,-4.14158
Bezier Quaternion,362,-4.36398
Bezier Quaternion,363,-4.57854
Bezier Quaternion,364,-4.78556
Bezier Quaternion,365,-4.9852
Bezier Quaternion,366,-5.17752
Bezier Quaternion,367,-5.36248
Bezier Quaternion,368,-5.53997
Bezier Quaternion,369,-5.70978
Bezier Quaternion,370,-5.87164
Bezier Quaternion,371,-6.02524
Bezier Quaternion,372,-6.17016
Bezier Quaternion,373,-6.30596
Bezier Quaternion,374,-6.4321
Bezier Quaternion,375,-6.54799
Bezier Quaternion,376,-6.65297
Bezier Quaternion,377,-6.74629
Bezier Quaternion,378,-6.8271
Bezier Quaternion,379,-6.88834
Bezier Quaternion,380,-6.92436
Bezier Quaternion,381,-6.93647
Bezier Quaternion,382,-6.92603
Bezier Quaternion,383,-6.89449
Bezier Quaternion,384,-6.8434
Bezier Quaternion,385,-6.7744
Bezier Quaternion,386,-6.68927
Bezier Quaternion,387,-6.5899
Bezier Quaternion,388,-6.47829
Bezier Quaternion,389,-6.3566
Bezier Quaternion,390,-6.22714
Bezier Quaternion,391,-6.09233
Bezier Quaternion,392,-5.95474
Bezier Quaternion,393,-5.8171
Bezier Quaternion,394,-5.68223
Bezier Quaternion,395,-5.5531
Bezier Quaternion,396,-5.43278
Bezier Quaternion,397,-5.32443
Bezier Quaternion,398,-5.23127
Bezier Quaternion,399,-5.15657
Bezier Quaternion,400,-5.08427
Bezier Quaternion,401,-4.99777
Bezier Quaternion,402,-4.89965
Bezier Quaternion,403,-4.79263
Bezier Quaternion,404,-4.67954
Bezier Quaternion,405,-4.56338
Bezier Quaternion,406,-4.44731
Bezier Quaternion,407,-4.33464
Bezier Quaternion,408,-4.22883
Bezier Quaternion,409,-4.13347
Bezier Quaternion,410,-4.05224
Bezier Quaternion,411,-3.98887
Bezier Quaternion,412,-3.9471
Bezier Quaternion,413,-3.93061
Bezier Quaternion,414,-3.94293
Bezier Quaternion,415,-3.98739
Bezier Quaternion,416,-4.06705
Bezier Quaternion,417,-4.18458
Bezier Quaternion,418,-4.34225
Bezier Quaternion,419,-4.54183
Bezier Quaternion,420,-4.78457
Bezier Quaternion,421,-5.08383
Bezier Quaternion,422,-5.44506
Bezier Quaternion,423,-5.8574
Bezier Quaternion,424,-6.31044
Bezier Quaternion,425,-6.79441
Bezier Quaternion,426,-7.30034
Bezier Quaternion,427,-7.82011
Bezier Quaternion,428,-8.34643
Bezier Quaternion,429,-8.87285
Bezier Quaternion,430,-9.39363
Bezier Quaternion,431,-9.90369
Bezier Quaternion,432,-10.3985
Bezier Quaternion,433,-10.8738
Bezier Quaternion,434,-11.326
Bezier Quaternion,435,-11.7514
Bezier Quaternion,436,-12.1464
Bezier Quaternion,437,-12.5077
Bezier Quaternion,438,-12.8317
Bezier Quaternion,439,-13.1147
Bezier Quaternion,440,-13.3529
Bezier Quaternion,441,-13.5423
Bezier Quaternion,442,-13.6948
Bezier Quaternion,443,-13.8259
Bezier Quaternion,444,-13.9367
Bezier Quaternion,445,-14.028
Bezier Quaternion,446,-14.1006
Bezier Quaternion,447,-14.1554
Bezier Quaternion,448,-14.193
Bezier Quaternion,449,-14.214
Bezier Quaternion,450,-14.219
Bezier Quaternion,451,-14.2086
Bezier Quaternion,452,-14.183
Bezier Quaternion,453,-14.1428
Bezier Quaternion,454,-14.0883
Bezier Quaternion,455,-14.0197
Bezier Quaternion,456,-13.9374
Bezier Quaternion,457,-13.8414
Bezier Quaternion,458,-13.7321
Bezier Quaternion,459,-13.6096
Bezier Quaternion,460,-13.474
Bezier Quaternion,461,-13.3257
Bezier Quaternion,462,-13.1648
Bezier Quaternion,463,-12.9692
Bezier Quaternion,464,-12.7182
Bezier Quaternion,465,-12.4144
Bezier Quaternion,466,-12.0603
Bezier Quaternion,467,-11.6592
Bezier Quaternion,468,-11.2142
Bezier Quaternion,469,-10.7291
Bezier Quaternion,470,-10.2077
Bezier Quaternion,471,-9.65433
Bezier Quaternion,472,-9.07363
Bezier Quaternion,473,-8.47054
Bezier Quaternion,474,-7.85037
Bezier Quaternion,475,-7.21887
Bezier Quaternion,476,-6.58222
Bezier Quaternion,477,-5.94711
Bezier Quaternion,478,-5.32086
Bezier Quaternion,479,-4.7115
Bezier Quaternion,480,-4.12805
Bezier Quaternion,481,-3.58073
Bezier Quaternion,482,-3.08146
Bezier Quaternion,483,-2.6445
Bezier Quaternion,484,-2.28028
Bezier Quaternion,485,-1.99149
Bezier Quaternion,486,-1.78412
Bezier Quaternion,487,-1.66611
Bezier Quaternion,488,-1.6482
Bezier Quaternion,489,-1.74521
Bezier Quaternion,490,-1.97818
Bezier Quaternion,491,-2.37797
Bezier Quaternion,492,-2.99164
Bezier Quaternion,493,-3.89448
Bezier Quaternion,494,-5.21474
Bezier Quaternion,495,-7.18921
Bezier Quaternion,496,-10.3056
Bezier Quaternion,497,-15.7351
Bezier Quaternion,498,-26.9848
Bezier Quaternion,499,-56.9905
Bezier Quaternion,500,-115.128
Bezier Quaternion,501,-145.463
Bezier Quaternion,502,-156.975
Bezier Quaternion,503,-162.716
Bezier Quaternion,504,-166.227
Bezier Quaternion,505,-168.625
Bezier Quaternion,506,-170.345
Bezier Quaternion,507,-171.64
Bezier Quaternion,508,-172.651
Bezier Quaternion,509,-173.466
Bezier Quaternion,510,-174.14
Bezier Quaternion,511,-174.709
Bezier Quaternion,512,-175.199
Bezier Quaternion,513,-175.628
Bezier Quaternion,514,-176.009
Bezier Quaternion,515,-176.352
Bezier Quaternion,516,-176.665
Bezier Quaternion,517,-176.951
Bezier Quaternion,518,-177.217
Bezier Quaternion,519,-177.466
Bezier Quaternion,520,-177.699
Bezier Quaternion,521,-177.921
Bezier Quaternion,522,-178.131
Bezier Quaternion,523,-178.332
Bezier Quaternion,524,-178.526
Bezier Quaternion,525,-178.712
Bezier Quaternion,526,-178.91
Bezier Quaternion,527,-179.132
Bezier Quaternion,528,-179.372
Bezier Quaternion,529,-179.624
Bezier Quaternion,530,-179.882
Bezier Quaternion,531,179.856
Bezier Quaternion,532,179.595
Bezier Quaternion,533,179.338
Bezier Quaternion,534,179.087
Bezier Quaternion,535,178.845
Bezier Quaternion,536,178.612
Bezier Quaternion,537,178.391
Bezier Quaternion,538,178.182
