Type,Frame,Angle
Bezier Euler,205,5.56082
Bezier Euler,206,5.47839
Bezier Euler,207,5.36196
Bezier Euler,208,5.20875
Bezier Euler,209,5.01602
Bezier Euler,210,4.781
Bezier Euler,211,4.48089
Bezier Euler,212,4.10076
Bezier Euler,213,3.64966
Bezier Euler,214,3.13665
Bezier Euler,215,2.57076
Bezier Euler,216,1.96106
Bezier Euler,217,1.31658
Bezier Euler,218,0.646381
Bezier Euler,219,-0.0404906
Bezier Euler,220,-0.734985
Bezier Euler,221,-1.42805
Bezier Euler,222,-2.11065
Bezier Euler,223,-2.77372
Bezier Euler,224,-3.40822
Bezier Euler,225,-4.00509
Bezier Euler,226,-4.5553
Bezier Euler,227,-5.04978
Bezier Euler,228,-5.4795
Bezier Euler,229,-5.83539
Bezier Euler,230,-6.10842
Bezier Euler,231,-6.28953
Bezier Euler,232,-6.40297
Bezier Euler,233,-6.47901
Bezier Euler,234,-6.5176
Bezier Euler,235,-6.51871
Bezier Euler,236,-6.48231
Bezier Euler,237,-6.40835
Bezier Euler,238,-6.29681
Bezier Euler,239,-6.14764
Bezier Euler,240,-5.96082
Bezier Euler,241,-5.73631
Bezier Euler,242,-5.47406
Bezier Euler,243,-5.17405
Bezier Euler,244,-4.83625
Bezier Euler,245,-4.4606
Bezier Euler,246,-4.04709
Bezier Euler,247,-3.59566
Bezier Euler,248,-3.1063
Bezier Euler,249,-2.57895
Bezier Euler,250,-2.0136
Bezier Euler,251,-1.41019
Bezier Euler,252,-0.768699
Bezier Euler,253,-0.0664569
Bezier Euler,254,0.714625
Bezier Euler,255,1.56772
Bezier Euler,256,2.486
Bezier Euler,257,3.46263
Bezier Euler,258,4.49079
Bezier Euler,259,5.56365
Bezier Euler,260,6.67439
Bezier Euler,261,7.81616
Bezier Euler,262,8.98215
Bezier Euler,263,10.1655
Bezier Euler,264,11.3595
Bezier Euler,265,12.5571
Bezier Euler,266,13.7517
Bezier Euler,267,14.9363
Bezier Euler,268,16.1042
Bezier Euler,269,17.2485
Bezier Euler,270,18.3624
Bezier Euler,271,19.4391
Bezier Euler,272,20.4717
Bezier Euler,273,21.4534
Bezier Euler,274,22.4472
Bezier Euler,275,23.5117
Bezier Euler,276,24.6335
Bezier Euler,277,25.7991
Bezier Euler,278,26.9951
Bezier Euler,279,28.208
Bezier Euler,280,29.4245
Bezier Euler,281,30.631
Bezier Euler,282,31.8141
Bezier Euler,283,32.9605
Bezier Euler,284,34.0566
Bezier Euler,285,35.0891
Bezier Euler,286,36.0444
Bezier Euler,287,36.9092
Bezier Euler,288,37.6699
Bezier Euler,289,38.3133
Bezier Euler,290,38.8258
Bezier Euler,291,39.194
Bezier Euler,292,39.4044
Bezier Euler,293,39.4437
Bezier Euler,294,39.2983
